Matrix Size (n),Seconds,GFLOPS
2000,1.1495656666666667,13.956177333333335
2500,1.240549,25.620211333333334
3000,1.2686363333333333,43.12315666666667
3500,1.3831069999999999,62.12543600000001
4000,1.5528656666666667,82.89741433333333
4500,1.5611823333333337,116.74827499999999
5000,1.644846,152.17431966666666
5500,1.7850103333333334,186.52260366666667
6000,2.0912889999999997,209.81522333333336
6500,2.1119296666666667,262.49269066666665
7000,2.2886526666666662,300.322333
7500,2.5246903333333335,334.4991146666667
8000,3.0267886666666666,339.5502813333333
8500,2.9257856666666666,421.929664
9000,3.037876333333333,480.643985
9500,3.409300333333333,503.0693273333333
10000,3.997981333333333,500.74716366666667
10500,4.165069,557.145045
11000,5.276029666666667,505.6677703333333
11500,5.0378490000000005,604.0752636666667
12000,5.582855666666667,620.3689456666666
12500,6.685114666666667,590.5939206666666
13000,7.061753666666667,622.5675186666667
13500,8.273185666666667,595.7103073333334
14000,8.902914333333333,618.2189653333334
14500,9.498927666666667,643.1322823333334
15000,10.695763333333334,631.511712
15500,10.021401333333333,745.6247199999999
16000,12.258307333333335,671.1374006666666
16500,13.499843333333333,665.9045070000001
17000,15.801369666666668,622.1013693333333
17500,18.689888,573.8196133333332
18000,17.376831,672.0228206666667
18500,17.651604333333335,719.820814
19000,23.131840666666665,606.8474540000001
19500,22.327478,673.075152
20000,20.868259999999996,770.7046236666666
