Matrix Size (n),Seconds,GFLOPS
2000,0.07325999999999999,218.802613
2500,0.103096,303.412581
3000,0.1399845,385.93100300000003
3500,0.2087135,410.933588
4000,0.28480649999999996,450.804449
4500,0.41324099999999997,442.241085
5000,0.5287175,472.854988
5500,0.6782105,490.66825
6000,0.8380365000000001,515.6045740000001
6500,1.0950945,501.5632075
7000,1.3657635,502.29289300000005
7500,1.6546075,509.93975650000004
8000,1.92842,531.023732
8500,2.355085,521.707114
9000,2.7414055,532.107717
9500,3.196905,536.4709445
10000,3.6481705,548.5680015
10500,3.8511610000000003,601.859241
11000,4.510069,590.252623
11500,4.693534,656.443169
12000,4.8924785,722.3884145
12500,5.3262225,760.696465
13000,5.9460745,772.0227525
13500,6.354672,866.051788
14000,8.177003,697.4975234999999
14500,7.9532025,848.1459
15000,9.4350575,787.2529385
15500,8.7770815,876.8893089999999
16000,12.049788,687.2562135000001
16500,13.886939,658.5360475
17000,13.7707035,742.215507
17500,16.6138725,648.3870999999999
18000,17.7338485,659.5719865000001
18500,17.9915405,707.0461995000001
19000,20.711329,662.6272395
19500,21.5275135,688.8784244999999
20000,21.3548535,749.340633
