Matrix Size (n),Seconds,GFLOPS
2000,0.0479705,374.3099655
2500,0.0590775,529.35616
3000,0.07622,709.2197755
3500,0.09346950000000001,917.9439475
4000,0.11284,1142.3988715
4500,0.135738,1379.9111895
5000,0.2130065,1177.190573
5500,0.2848825,1173.5440374999998
6000,0.389254,1116.0964235000001
6500,0.545735,1007.706242
7000,0.7332295,940.439494
7500,0.9395024999999999,903.5068329999999
8000,1.114079,922.8072055
8500,1.3450324999999999,914.304101
9000,1.5134285,963.7335495
9500,1.676344,1024.4110919999998
10000,1.8693375,1070.3170599999999
10500,2.1486885,1077.5262309999998
11000,2.4247585000000003,1097.8413525
11500,2.6678315,1140.286755
12000,2.9764530000000002,1161.245404
12500,3.2809115,1190.6109105
13000,3.530713,1250.7502645
13500,3.97561,1237.751702
14000,4.0101700000000005,1379.44996
14500,4.7905745,1272.8927979999999
15000,4.3986909999999995,1576.4354549999998
15500,5.3848145,1387.5758420000002
16000,5.812882,1455.248362
16500,6.188217,1521.3735700000002
17000,6.9027625,1475.610846
17500,6.394306500000001,1759.0113150000002
18000,7.071077000000001,1685.3110769999998
18500,7.8697775,1650.0465789999998
19000,10.2286755,1351.0920475
19500,8.747833499999999,1749.1965420000001
20000,12.434464,1289.7855885
