Matrix Size (n),Seconds,GFLOPS
2000,0.095773,167.4671625
2500,0.1805005,173.492821
3000,0.308313,175.7599755
3500,0.42977299999999996,199.6648225
4000,0.616482,214.26032099999998
4500,0.69276,268.0987
5000,0.9218504999999999,271.886919
5500,1.1706335,284.2484115
6000,1.402359,308.33295499999997
6500,1.6243295,338.139475
7000,1.8549835,370.1126055
7500,2.1251355,397.68838949999997
8000,2.4297519999999997,423.05141649999996
8500,2.7571529999999997,446.00106400000004
9000,3.2068195,454.786207
9500,3.5165365,487.8096925
10000,4.1003215,487.87735699999996
10500,3.6075505,670.031774
11000,4.908647500000001,543.0180935
11500,5.2248435,582.817718
12000,5.650169,611.7378985
12500,6.3349825,618.108039
13000,6.6097895,664.782395
13500,7.6913845,640.7910569999999
14000,7.8770875,701.647963
14500,8.9326635,699.95273
15000,9.9386215,680.884283
15500,10.341192,724.5254150000001
16000,11.001783,747.3732115
16500,13.2071945,680.5794975
17000,14.268258,690.458521
17500,14.0764315,766.214858
18000,15.761523,743.6819245
18500,15.626511,818.6416655
19000,17.134537,801.9789404999999
19500,17.777247,834.5498084999999
20000,17.1713625,934.6072425
