Matrix Size (n),Seconds,GFLOPS
2000,0.06381,251.92796500000003
2500,0.084449,373.3630535
3000,0.1363455,396.1290825
3500,0.2321745,406.23599349999995
4000,0.25718949999999996,499.59783649999997
4500,0.37248950000000003,491.46524
5000,0.46640349999999997,537.274189
5500,0.5745505,584.819659
6000,0.7012084999999999,622.478319
6500,0.8945805,615.2387605
7000,1.036442,663.598155
7500,1.211821,696.365579
8000,1.298734,796.123508
8500,1.5621265,786.6229655
9000,1.7672245,825.2976285
9500,2.004011,855.659226
10000,2.0949755,954.760002
10500,2.3440735,994.7586605
11000,2.554555,1044.318915
11500,2.602915,1182.6457685
12000,3.1093599999999997,1112.9863205000001
12500,3.2521205,1205.95132
13000,3.5523645,1237.0580295
13500,4.0770135,1207.196094
14000,4.241664999999999,1305.2315465
14500,4.6449195,1312.750238
15000,4.7905475,1411.6668104999999
15500,5.142327,1454.3812185000002
16000,5.045588,1646.849314
16500,5.6765725,1627.6018765
17000,6.1939845,1648.4999585
17500,6.100925,1780.0972179999999
18000,6.1276720000000005,1975.853651
18500,6.930714,1855.1343395
19000,8.234603,1666.884807
19500,8.4519025,1757.541518
20000,10.3057335,1553.2050735
