2000x2000x2000	0.063097 s	253.579340 GFLOPS
2050x2050x2050	0.045825 s	375.999877 GFLOPS
2100x2100x2100	0.037474 s	494.262808 GFLOPS
2150x2150x2150	0.047024 s	422.695547 GFLOPS
2200x2200x2200	0.045422 s	468.846642 GFLOPS
2250x2250x2250	0.054218 s	420.180234 GFLOPS
2300x2300x2300	0.051928 s	468.612549 GFLOPS
2350x2350x2350	0.071976 s	360.614509 GFLOPS
2400x2400x2400	0.052890 s	522.749551 GFLOPS
2450x2450x2450	0.062371 s	471.568230 GFLOPS
2500x2500x2500	0.062253 s	501.979857 GFLOPS
2550x2550x2550	0.078161 s	424.286869 GFLOPS
2600x2600x2600	0.077351 s	454.447084 GFLOPS
2650x2650x2650	0.073295 s	507.799082 GFLOPS
2700x2700x2700	0.071741 s	548.721794 GFLOPS
2750x2750x2750	0.075012 s	554.495952 GFLOPS
2800x2800x2800	0.072636 s	604.439461 GFLOPS
2850x2850x2850	0.103823 s	445.932842 GFLOPS
2900x2900x2900	0.090464 s	539.199808 GFLOPS
2950x2950x2950	0.090190 s	569.297914 GFLOPS
3000x3000x3000	0.097955 s	551.274287 GFLOPS
3050x3050x3050	0.128529 s	441.498192 GFLOPS
3100x3100x3100	0.103560 s	575.339907 GFLOPS
3150x3150x3150	0.113433 s	551.090330 GFLOPS
3200x3200x3200	0.130174 s	503.450444 GFLOPS
3250x3250x3250	0.181807 s	377.631681 GFLOPS
3300x3300x3300	0.116855 s	615.069553 GFLOPS
3350x3350x3350	0.171038 s	439.614304 GFLOPS
3400x3400x3400	0.127708 s	615.531446 GFLOPS
3450x3450x3450	0.163668 s	501.790912 GFLOPS
3500x3500x3500	0.122705 s	698.831827 GFLOPS
3550x3550x3550	0.158420 s	564.814465 GFLOPS
3600x3600x3600	0.150317 s	620.768114 GFLOPS
3650x3650x3650	0.187774 s	517.932610 GFLOPS
3700x3700x3700	0.185920 s	544.891635 GFLOPS
3750x3750x3750	0.200654 s	525.625368 GFLOPS
3800x3800x3800	0.189963 s	577.713466 GFLOPS
3850x3850x3850	0.224502 s	508.383986 GFLOPS
3900x3900x3900	0.225590 s	525.900134 GFLOPS
3950x3950x3950	0.253714 s	485.821624 GFLOPS
4000x4000x4000	0.196443 s	651.587699 GFLOPS
4050x4050x4050	0.249697 s	532.086278 GFLOPS
4100x4100x4100	0.279292 s	493.539934 GFLOPS
4150x4150x4150	0.288317 s	495.797785 GFLOPS
4200x4200x4200	0.300162 s	493.652865 GFLOPS
4250x4250x4250	0.293450 s	523.194259 GFLOPS
4300x4300x4300	0.283298 s	561.295065 GFLOPS
4350x4350x4350	0.322117 s	511.074975 GFLOPS
4400x4400x4400	0.327109 s	520.830006 GFLOPS
4450x4450x4450	0.242615 s	726.428724 GFLOPS
4500x4500x4500	0.330154 s	552.014879 GFLOPS
4550x4550x4550	0.367904 s	512.070975 GFLOPS
4600x4600x4600	0.366804 s	530.724208 GFLOPS
4650x4650x4650	0.401844 s	500.415805 GFLOPS
4700x4700x4700	0.375114 s	553.554138 GFLOPS
4750x4750x4750	0.452469 s	473.720085 GFLOPS
4800x4800x4800	0.392042 s	564.183743 GFLOPS
4850x4850x4850	0.447274 s	510.130258 GFLOPS
4900x4900x4900	0.444292 s	529.602020 GFLOPS
4950x4950x4950	0.460544 s	526.713129 GFLOPS
5000x5000x5000	0.461477 s	541.738701 GFLOPS
5050x5050x5050	0.481899 s	534.500919 GFLOPS
5100x5100x5100	0.465869 s	569.478150 GFLOPS
5150x5150x5150	0.510187 s	535.454018 GFLOPS
5200x5200x5200	0.514819 s	546.242578 GFLOPS
5250x5250x5250	0.562239 s	514.738850 GFLOPS
5300x5300x5300	0.557850 s	533.752893 GFLOPS
5350x5350x5350	0.621860 s	492.491620 GFLOPS
5400x5400x5400	0.565899 s	556.509379 GFLOPS
5450x5450x5450	0.624149 s	518.717858 GFLOPS
5500x5500x5500	0.562051 s	592.027771 GFLOPS
5550x5550x5550	0.637843 s	536.037317 GFLOPS
5600x5600x5600	0.638427 s	550.152591 GFLOPS
5650x5650x5650	0.670418 s	538.058926 GFLOPS
5700x5700x5700	0.691709 s	535.464813 GFLOPS
5750x5750x5750	0.710512 s	535.133146 GFLOPS
5800x5800x5800	0.745179 s	523.664586 GFLOPS
5850x5850x5850	0.752663 s	531.982372 GFLOPS
5900x5900x5900	0.746423 s	550.301847 GFLOPS
5950x5950x5950	0.808682 s	520.958292 GFLOPS
6000x6000x6000	0.770693 s	560.534485 GFLOPS
6050x6050x6050	0.825677 s	536.396760 GFLOPS
6100x6100x6100	0.826254 s	549.422050 GFLOPS
6150x6150x6150	0.872415 s	533.251794 GFLOPS
