2000x2000x2000	0.058280 s	274.537219 GFLOPS
2050x2050x2050	0.072341 s	238.179544 GFLOPS
2100x2100x2100	0.068137 s	271.835504 GFLOPS
2150x2150x2150	0.071144 s	279.387553 GFLOPS
2200x2200x2200	0.072153 s	295.149965 GFLOPS
2250x2250x2250	0.075130 s	303.223584 GFLOPS
2300x2300x2300	0.084034 s	289.571793 GFLOPS
2350x2350x2350	0.089103 s	291.300975 GFLOPS
2400x2400x2400	0.090459 s	305.640456 GFLOPS
2450x2450x2450	0.093600 s	314.232500 GFLOPS
2500x2500x2500	0.093422 s	334.504416 GFLOPS
2550x2550x2550	0.104643 s	316.914101 GFLOPS
2600x2600x2600	0.121478 s	289.369695 GFLOPS
2650x2650x2650	0.127423 s	292.093164 GFLOPS
2700x2700x2700	0.111099 s	354.332849 GFLOPS
2750x2750x2750	0.117844 s	352.956796 GFLOPS
2800x2800x2800	0.123434 s	355.686714 GFLOPS
2850x2850x2850	0.135721 s	341.128369 GFLOPS
2900x2900x2900	0.142310 s	342.758927 GFLOPS
2950x2950x2950	0.147303 s	348.565315 GFLOPS
3000x3000x3000	0.154114 s	350.389489 GFLOPS
3050x3050x3050	0.166237 s	341.351151 GFLOPS
3100x3100x3100	0.185681 s	320.883728 GFLOPS
3150x3150x3150	0.187363 s	333.640624 GFLOPS
3200x3200x3200	0.189393 s	346.032622 GFLOPS
3250x3250x3250	0.192324 s	356.981747 GFLOPS
3300x3300x3300	0.207807 s	345.869606 GFLOPS
3350x3350x3350	0.210598 s	357.034947 GFLOPS
3400x3400x3400	0.234955 s	334.566695 GFLOPS
3450x3450x3450	0.228042 s	360.140800 GFLOPS
3500x3500x3500	0.236701 s	362.271191 GFLOPS
3550x3550x3550	0.153866 s	581.531435 GFLOPS
3600x3600x3600	0.263272 s	354.431508 GFLOPS
3650x3650x3650	0.275293 s	353.275020 GFLOPS
3700x3700x3700	0.276457 s	366.444250 GFLOPS
3750x3750x3750	0.295208 s	357.269803 GFLOPS
3800x3800x3800	0.296792 s	369.767620 GFLOPS
3850x3850x3850	0.313107 s	364.518102 GFLOPS
3900x3900x3900	0.320592 s	370.059470 GFLOPS
3950x3950x3950	0.325015 s	379.243329 GFLOPS
4000x4000x4000	0.333482 s	383.828288 GFLOPS
4050x4050x4050	0.345512 s	384.531609 GFLOPS
4100x4100x4100	0.376855 s	365.769725 GFLOPS
4150x4150x4150	0.381341 s	374.852537 GFLOPS
4200x4200x4200	0.369209 s	401.333473 GFLOPS
4250x4250x4250	0.378851 s	405.254856 GFLOPS
4300x4300x4300	0.397046 s	400.492185 GFLOPS
4350x4350x4350	0.404979 s	406.504580 GFLOPS
4400x4400x4400	0.504893 s	337.434183 GFLOPS
4450x4450x4450	0.547051 s	322.168114 GFLOPS
4500x4500x4500	0.459945 s	396.243045 GFLOPS
4550x4550x4550	0.462396 s	407.426860 GFLOPS
4600x4600x4600	0.319928 s	608.487427 GFLOPS
4650x4650x4650	0.561816 s	357.927372 GFLOPS
4700x4700x4700	0.603272 s	344.199812 GFLOPS
4750x4750x4750	0.529482 s	404.818099 GFLOPS
4800x4800x4800	0.547427 s	404.042554 GFLOPS
4850x4850x4850	0.558192 s	408.762675 GFLOPS
4900x4900x4900	0.590486 s	398.481806 GFLOPS
4950x4950x4950	0.602591 s	402.552968 GFLOPS
5000x5000x5000	0.614392 s	406.906261 GFLOPS
5050x5050x5050	0.623557 s	413.074370 GFLOPS
5100x5100x5100	0.630241 s	420.953219 GFLOPS
5150x5150x5150	0.663914 s	411.471641 GFLOPS
5200x5200x5200	0.659303 s	426.535208 GFLOPS
5250x5250x5250	0.671599 s	430.921488 GFLOPS
5300x5300x5300	0.669597 s	444.676180 GFLOPS
5350x5350x5350	0.693314 s	441.734751 GFLOPS
5400x5400x5400	0.743333 s	423.670126 GFLOPS
5450x5450x5450	0.747951 s	432.858968 GFLOPS
5500x5500x5500	0.759223 s	438.277171 GFLOPS
5550x5550x5550	0.756887 s	451.728847 GFLOPS
5600x5600x5600	0.787247 s	446.152035 GFLOPS
5650x5650x5650	0.842890 s	427.961450 GFLOPS
5700x5700x5700	0.844635 s	438.515794 GFLOPS
5750x5750x5750	0.840102 s	452.586501 GFLOPS
5800x5800x5800	0.866225 s	450.488198 GFLOPS
5850x5850x5850	0.464040 s	862.864496 GFLOPS
5900x5900x5900	0.947898 s	433.335604 GFLOPS
5950x5950x5950	0.947302 s	444.725927 GFLOPS
6000x6000x6000	0.944065 s	457.595374 GFLOPS
6050x6050x6050	0.964953 s	458.975921 GFLOPS
6100x6100x6100	0.995141 s	456.178794 GFLOPS
6150x6150x6150	1.013216 s	459.148511 GFLOPS
6200x6200x6200	1.024334 s	465.332641 GFLOPS
6250x6250x6250	1.059432 s	460.889814 GFLOPS
6300x6300x6300	1.051526 s	475.588715 GFLOPS
6350x6350x6350	1.076386 s	475.754902 GFLOPS
6400x6400x6400	1.105225 s	474.372196 GFLOPS
6450x6450x6450	0.940468 s	570.643528 GFLOPS
6500x6500x6500	1.121187 s	489.882738 GFLOPS
6550x6550x6550	1.177284 s	477.389107 GFLOPS
6600x6600x6600	0.968297 s	593.817691 GFLOPS
6650x6650x6650	1.158970 s	507.484617 GFLOPS
6700x6700x6700	0.973477 s	617.914925 GFLOPS
6750x6750x6750	0.993973 s	618.823347 GFLOPS
6800x6800x6800	1.401227 s	448.795228 GFLOPS
6850x6850x6850	1.278575 s	502.776952 GFLOPS
6900x6900x6900	1.309474 s	501.741847 GFLOPS
6950x6950x6950	1.247407 s	538.240426 GFLOPS
7000x7000x7000	1.372807 s	499.706072 GFLOPS
7050x7050x7050	1.571682 s	445.894932 GFLOPS
7100x7100x7100	1.391419 s	514.454515 GFLOPS
7150x7150x7150	1.400997 s	521.808052 GFLOPS
7200x7200x7200	1.483864 s	503.075629 GFLOPS
7250x7250x7250	1.480115 s	514.930297 GFLOPS
7300x7300x7300	1.459474 s	533.091941 GFLOPS
7350x7350x7350	1.518655 s	522.917171 GFLOPS
7400x7400x7400	1.611276 s	502.985177 GFLOPS
