Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 20.957341, 95.431955,Single
2, , ,Double
3, 20.990647, 95.280532,Single
3, 42.883597, 46.637878,Double
4, 21.013162, 95.178442,Single
4, 43.231335, 46.262739,Double
5, 20.927034, 95.570162,Single
5, 42.941057, 46.575472,Double
6, 20.927998, 95.565759,Single
6, 42.719061, 46.817508,Double
7, 20.918108, 95.610940,Single
7, 42.695108, 46.843774,Double
8, 20.874432, 95.810990,Single
8, 42.615351, 46.931445,Double
9, 20.867375, 95.843392,Single
9, 42.708076, 46.829550,Double
10, 20.840975, 95.964802,Single
10, 42.615060, 46.931766,Double
11, 20.845250, 95.945120,Single
11, 42.594954, 46.953919,Double
12, 20.852132, 95.913452,Single
12, 42.469935, 47.092138,Double
13, 20.840194, 95.968398,Single
13, 42.608670, 46.938804,Double
14, 20.825207, 96.037460,Single
14, 42.722685, 46.813537,Double
15, 20.844124, 95.950304,Single
15, 42.542702, 47.011589,Double
16, 20.837325, 95.981611,Single
16, 42.610011, 46.937326,Double
17, 20.849403, 95.926007,Single
17, 42.679544, 46.860857,Double
18, 20.843963, 95.951042,Single
18, 42.513093, 47.044331,Double
19, 20.839099, 95.973440,Single
19, 42.700049, 46.838354,Double
20, 20.835688, 95.989149,Single
20, 42.709349, 46.828155,Double
21, 20.843812, 95.951739,Single
21, 42.570347, 46.981060,Double
22, 20.864714, 95.855614,Single
22, 42.577141, 46.973563,Double
23, 20.865584, 95.851621,Single
23, 42.366379, 47.207244,Double
24, 20.869499, 95.833636,Single
24, 42.650640, 46.892614,Double
25, 20.836606, 95.984923,Single
25, 42.704311, 46.833679,Double
26, 20.916918, 95.616380,Single
26, 42.685839, 46.853946,Double
27, 20.873530, 95.815131,Single
27, 42.597138, 46.951511,Double
28, 20.841395, 95.962865,Single
28, 42.685402, 46.854426,Double
29, , ,Single
29, , ,Double
30, , ,Single
30, , ,Double
31, , ,Single
31, , ,Double
32, , ,Single
32, , ,Double
33, , ,Single
33, , ,Double
34, , ,Single
34, , ,Double
35, , ,Single
35, , ,Double
36, , ,Single
36, , ,Double
37, , ,Single
37, , ,Double
38, , ,Single
38, , ,Double
39, , ,Single
39, , ,Double
40, , ,Single
40, , ,Double
41, , ,Single
41, , ,Double
42, , ,Single
42, , ,Double
43, , ,Single
43, , ,Double
44, , ,Single
44, , ,Double
45, , ,Single
45, , ,Double
46, , ,Single
46, , ,Double
47, , ,Single
47, , ,Double
48, , ,Single
48, , ,Double
49, , ,Single
49, , ,Double
50, , ,Single
50, , ,Double
51, , ,Single
51, , ,Double
52, , ,Single
52, , ,Double
53, , ,Single
53, , ,Double
54, , ,Single
54, , ,Double
55, , ,Single
55, , ,Double
56, , ,Single
56, , ,Double
57, , ,Single
57, , ,Double
58, , ,Single
58, , ,Double
59, , ,Single
59, , ,Double
60, , ,Single
60, , ,Double
61, , ,Single
61, , ,Double
62, , ,Single
62, , ,Double
63, , ,Single
63, , ,Double
64, , ,Single
64, , ,Double
65, , ,Single
65, , ,Double
66, , ,Single
66, , ,Double
67, , ,Single
67, , ,Double
68, , ,Single
68, , ,Double
69, , ,Single
69, , ,Double
70, , ,Single
70, , ,Double
71, , ,Single
71, , ,Double
72, , ,Single
72, , ,Double
73, , ,Single
73, , ,Double
74, , ,Single
74, , ,Double
75, , ,Single
75, , ,Double
76, , ,Single
76, , ,Double
77, , ,Single
77, , ,Double
78, , ,Single
78, , ,Double
79, , ,Single
79, , ,Double
80, , ,Single
80, , ,Double
81, , ,Single
81, , ,Double
82, , ,Single
82, , ,Double
83, , ,Single
83, , ,Double
84, , ,Single
84, , ,Double
85, , ,Single
85, , ,Double
86, , ,Single
86, , ,Double
87, , ,Single
87, , ,Double
88, , ,Single
88, , ,Double
89, , ,Single
89, , ,Double
90, , ,Single
90, , ,Double
91, , ,Single
91, , ,Double
92, , ,Single
92, , ,Double
93, , ,Single
93, , ,Double
94, , ,Single
94, , ,Double
95, , ,Single
95, , ,Double
96, , ,Single
96, , ,Double
97, , ,Single
97, , ,Double
98, , ,Single
98, , ,Double
99, , ,Single
99, , ,Double
100, , ,Single
100, , ,Double
101, , ,Single
101, , ,Double
102, , ,Single
102, , ,Double
103, , ,Single
103, , ,Double
104, , ,Single
104, , ,Double
105, , ,Single
105, , ,Double
106, , ,Single
106, , ,Double
107, , ,Single
107, , ,Double
108, , ,Single
108, , ,Double
109, , ,Single
109, , ,Double
110, , ,Single
110, , ,Double
111, , ,Single
111, , ,Double
112, , ,Single
112, , ,Double
113, , ,Single
113, , ,Double
114, , ,Single
114, , ,Double
115, , ,Single
115, , ,Double
116, , ,Single
116, , ,Double
117, , ,Single
117, , ,Double
118, , ,Single
118, , ,Double
119, , ,Single
119, , ,Double
120, , ,Single
120, , ,Double
121, , ,Single
121, , ,Double
122, , ,Single
122, , ,Double
123, , ,Single
123, , ,Double
124, , ,Single
124, , ,Double
125, , ,Single
125, , ,Double
126, , ,Single
126, , ,Double
127, , ,Single
127, , ,Double
128, , ,Single
128, , ,Double
