Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 16.295901, 122.730250,Single
2, , ,Double
3, 16.218403, 123.316702,Single
3, 14.653229, 136.488688,Double
4, 10.857467, 184.205033,Single
4, 11.243650, 177.878185,Double
5, 8.258141, 242.185244,Single
5, 8.931382, 223.929505,Double
6, 5.625564, 355.519909,Single
6, 7.523777, 265.823925,Double
7, 5.655159, 353.659350,Single
7, 6.448909, 310.129954,Double
8, 4.379238, 456.700409,Single
8, 5.869507, 340.744097,Double
9, 4.353309, 459.420614,Single
9, 5.332503, 375.058358,Double
10, 3.897435, 513.158034,Single
10, 4.938170, 405.008342,Double
11, 3.588034, 557.408309,Single
11, 4.535706, 440.945672,Double
12, 3.151916, 634.534661,Single
12, 4.328284, 462.076893,Double
13, 3.127929, 639.400744,Single
13, 4.121100, 485.307358,Double
14, 2.739998, 729.927492,Single
14, 3.930613, 508.826468,Double
15, 2.619796, 763.418108,Single
15, 3.878281, 515.692456,Double
16, 2.622737, 762.562194,Single
16, 3.944316, 507.058757,Double
17, 2.771589, 721.607822,Single
17, 3.713801, 538.531865,Double
18, 2.454501, 814.829730,Single
18, 3.643749, 548.885180,Double
19, 2.277995, 877.964861,Single
19, 3.668647, 545.160145,Double
20, 2.181810, 916.670034,Single
20, 3.527052, 567.045715,Double
21, 2.259849, 885.015031,Single
21, 3.769209, 530.615250,Double
22, 2.646014, 755.853777,Single
22, 3.471189, 576.171467,Double
23, 2.051471, 974.910422,Single
23, 3.193687, 626.235398,Double
24, 1.912636, 1045.677528,Single
24, 3.420778, 584.662353,Double
25, 1.927633, 1037.541997,Single
25, 3.176494, 629.624962,Double
26, 2.596252, 770.341278,Single
26, 3.269026, 611.802949,Double
27, 1.978108, 1011.067253,Single
27, 2.966591, 674.174581,Double
28, 1.787842, 1118.667113,Single
28, 3.294445, 607.082509,Double
29, 1.999007, 1000.496673,Single
29, 3.052423, 655.217273,Double
30, 1.721310, 1161.905574,Single
30, 3.109067, 643.279810,Double
31, 1.658505, 1205.905410,Single
31, 2.817433, 709.866051,Double
