Number of CPUs,Seconds,GFLOPS,Precision
1, , ,Single
1, , ,Double
2, 10.270410, 194.734201,Single
2, , ,Double
3, 7.101682, 281.623424,Single
3, 14.312728, 139.735761,Double
4, 5.405366, 370.002712,Single
4, 10.774199, 185.628650,Double
5, 4.329924, 461.901872,Single
5, 8.652566, 231.145313,Double
6, 3.729834, 536.216850,Single
6, 7.583959, 263.714496,Double
7, 3.175273, 629.867048,Single
7, 6.416671, 311.688115,Double
8, 2.776433, 720.348799,Single
8, 5.662102, 353.225711,Double
9, 2.589065, 772.479508,Single
9, 5.191813, 385.221900,Double
10, 2.273891, 879.549467,Single
10, 4.662779, 428.928730,Double
11, 2.185703, 915.037556,Single
11, 4.452692, 449.166523,Double
12, 2.002840, 998.582011,Single
12, 4.009680, 498.792935,Double
13, 1.955460, 1022.777305,Single
13, 3.804006, 525.761472,Double
14, 1.811713, 1103.927669,Single
14, 3.703633, 540.010378,Double
15, 1.692877, 1181.420994,Single
15, 3.503215, 570.904152,Double
16, 1.572425, 1271.920430,Single
16, 3.261391, 613.235348,Double
17, 2.016398, 991.867461,Single
17, 17.272217, 115.792893,Double
18, 1.715881, 1165.582095,Single
18, 3.106680, 643.774067,Double
19, 3.518252, 568.464070,Single
19, 3.309078, 604.397892,Double
20, 2.304027, 868.045489,Single
20, 5.705215, 350.556445,Double
21, 1.329700, 1504.098999,Single
21, 2.780146, 719.386648,Double
22, 1.382878, 1446.259496,Single
22, 2.592340, 771.503611,Double
23, 1.339312, 1493.304483,Single
23, 2.562286, 780.552923,Double
24, 1.480549, 1350.850399,Single
24, 2.481972, 805.810748,Double
25, 2.800344, 714.198036,Single
25, 2.706184, 739.048063,Double
26, 1.330658, 1503.015588,Single
26, 3.810254, 524.899454,Double
27, 1.354941, 1476.079242,Single
27, 2.491351, 802.777303,Double
28, 1.639318, 1220.019863,Single
28, 2.524535, 792.225232,Double
29, 1.945988, 1027.755619,Single
29, 2.492156, 802.517924,Double
30, 1.466315, 1363.963179,Single
30, 2.514070, 795.522745,Double
31, 1.420038, 1408.412907,Single
31, 2.501673, 799.465066,Double
